repository,release_tag,working_days_since_previous_release
seed-design,@seed-design/stackflow@0.0.1-rc.1,1
seed-design,@seed-design/react@0.0.1-rc.2,1
seed-design,@seed-design/cli@0.0.1,4
seed-design,@seed-design/codemod@0.0.12,1
seed-design,@seed-design/migration-index@0.0.1,1
seed-design,@seed-design/css@0.0.1,1
seed-design,@seed-design/react@0.0.1,1
seed-design,@seed-design/react-avatar@0.0.1,1
seed-design,@seed-design/react-checkbox@0.0.1,1
seed-design,@seed-design/react-dialog@0.0.1,1
seed-design,@seed-design/react-popover@0.0.1,1
seed-design,@seed-design/react-primitive@0.0.1,1
seed-design,@seed-design/react-progress@0.0.1,1
seed-design,@seed-design/react-radio-group@0.0.1,1
seed-design,@seed-design/react-segmented-control@0.0.1,1
seed-design,@seed-design/react-pull-to-refresh@0.0.1,1
seed-design,@seed-design/react-snackbar@0.0.1,1
seed-design,@seed-design/react-tabs@0.0.1,1
seed-design,@seed-design/react-switch@0.0.1,1
seed-design,@seed-design/react-toggle@0.0.1,1
seed-design,@seed-design/react-text-field@0.0.1,1
seed-design,@seed-design/react-theming@2.1.5,1
seed-design,@seed-design/dom-utils@0.0.1,1
seed-design,@seed-design/vite-plugin@0.0.1,1
seed-design,@seed-design/stackflow@0.0.1,1
seed-design,@seed-design/webpack-plugin@0.0.1,1
seed-design,@seed-design/stylesheet@1.1.0,1
seed-design,@seed-design/css@0.0.2,1
seed-design,@seed-design/stackflow@0.0.2,1
seed-design,@seed-design/react@0.0.2,1
seed-design,@seed-design/stylesheet@1.1.1,1
seed-design,@seed-design/webpack-plugin@0.0.2,1
seed-design,@seed-design/vite-plugin@0.0.2,1
seed-design,@seed-design/css@0.0.3,6
seed-design,@seed-design/codemod@0.0.13,1
seed-design,@seed-design/migration-index@0.0.2,1
seed-design,@seed-design/stackflow@0.0.3,1
seed-design,@seed-design/rsbuild-plugin@0.0.3,1
seed-design,@seed-design/react@0.0.3,1
seed-design,@seed-design/vite-plugin@0.0.3,1
seed-design,@seed-design/webpack-plugin@0.0.3,1
seed-design,@seed-design/react@0.0.4,2
seed-design,@seed-design/css@0.0.4,1
seed-design,@seed-design/rsbuild-plugin@0.0.4,1
seed-design,@seed-design/stackflow@0.0.4,1
seed-design,@seed-design/vite-plugin@0.0.4,1
seed-design,@seed-design/webpack-plugin@0.0.4,1
seed-design,@seed-design/css@0.0.5,4
seed-design,@seed-design/codemod@0.0.14,1
seed-design,@seed-design/rsbuild-plugin@0.0.5,1
seed-design,@seed-design/stackflow@0.0.5,1
seed-design,@seed-design/react@0.0.5,1
seed-design,@seed-design/vite-plugin@0.0.5,1
seed-design,@seed-design/webpack-plugin@0.0.5,1
seed-design,@seed-design/codemod@0.0.15,5
seed-design,@seed-design/migration-index@0.0.3,1
seed-design,@seed-design/react@0.0.6,1
seed-design,@seed-design/rsbuild-plugin@0.0.6,1
seed-design,@seed-design/stackflow@0.0.6,1
seed-design,@seed-design/webpack-plugin@0.0.6,1
seed-design,@seed-design/css@0.0.6,1
seed-design,@seed-design/vite-plugin@0.0.6,1
seed-design,@seed-design/css@0.0.7,1
seed-design,@seed-design/react@0.0.7,1
seed-design,@seed-design/rsbuild-plugin@0.0.7,1
seed-design,@seed-design/vite-plugin@0.0.7,1
seed-design,@seed-design/stackflow@0.0.7,1
seed-design,@seed-design/webpack-plugin@0.0.7,1
seed-design,@seed-design/codemod@0.0.16,1
seed-design,@seed-design/codemod@0.0.17,1
seed-design,@seed-design/codemod@0.0.18,3
seed-design,@seed-design/migration-index@0.0.18,1
seed-design,@seed-design/rsbuild-plugin@0.0.8,1
seed-design,@seed-design/react@0.0.8,1
seed-design,@seed-design/vite-plugin@0.0.8,1
seed-design,@seed-design/webpack-plugin@0.0.8,1
seed-design,@seed-design/stackflow@0.0.8,1
seed-design,@seed-design/css@0.0.8,1
seed-design,@seed-design/codemod@0.0.19,6
seed-design,@seed-design/codemod@0.0.21,10
